"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"seqFISH mouse gastrulation data (rep 2)","Example seqFISH dataset of tissue sections of mouse embryos at the 8–12 somite stage by the Marioni lab at the Cancer Research UK Cambridge Institute, rep2, described in the paper 'Integration of spatial and single-cell transcriptomic data elucidates mouse organogenesis'","3.17","GRCm38","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","","Mus musculus","10090",NA,"Cancer Research UK Cambridge Institute","Kayla Jackson <kaylajac@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/seqfish_em2.rds"
"seqFISH mouse gastrulation data (rep 3)","Example seqFISH dataset of tissue sections of mouse embryos at the 8–12 somite stage by the Marioni lab at the Cancer Research UK Cambridge Institute, rep3, described in the paper 'Integration of spatial and single-cell transcriptomic data elucidates mouse organogenesis'","3.17","GRCm38","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","","Mus musculus","10090",NA,"Cancer Research UK Cambridge Institute","Kayla Jackson <kaylajac@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/seqfish_em3.rds"
"Small subset of Vizgen output from human brain cancer data","Small subset of Vizgen output from in house unpublished brain cancer data, used to demonstrate and test readVizgen()","3.19","GRCh38","tar.gz","https://www.dkfz.de/en/single-cell-sequencing/open-lab.html","","Homo sapiens","9606",NA,"scOpenLab DKFZ","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","FilePath","SFEData/vizgen.tar.gz"
"Small subset of Vizgen output from human brain cancer data, Cellpose output","Small subset of Vizgen output from in house unpublished brain cancer data, with CellPose cell segmentation directory, used to demonstrate and test readVizgen()","3.19","GRCh38","tar.gz","https://www.dkfz.de/en/single-cell-sequencing/open-lab.html","","Homo sapiens","9606",NA,"scOpenLab DKFZ","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","FilePath","SFEData/vizgen_cellpose.tar.gz"
"Small subset of CosMX output from mouse quarter brain data","Small subset of CosMX output from mouse quarter brain data including the hippocampus downloaded from the Nanostring website, used to demonstrate and test readCosMX()","3.19","GRCm38","tar.gz","https://nanostring.com/resources/coronal-hippocampus-and-cortex-basic-data-files/","","Mus musculus","10090",NA,"Nanostring","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","FilePath","SFEData/cosmx.tar.gz"
"Xenium Onboarding Analysis v1 output from mouse brain","'Tiny subset' of Xenium mouse brain data from 10X website, generated with Xenium Onboarding Analysis v1, without the zarr files and only with lower resolution images, to demonstrate and test readXenium()","3.19","GRCm38","Zip","https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP_outs.zip","","Mus musculus","10090",NA,"10X Genomics","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","FilePath","SFEData/xenium.tar.gz"
"Small subset of Xenium Onboarding Analysis v2 output from human pancreas","Small subset of Xenium human pancreas data from 10X website, generated with Xenium Onboarding Analysis v2, without the zarr files and only with lower resolution images, to demonstrate and test readXenium()","3.19","GRCh38","Zip","https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_human_Pancreas_FFPE/Xenium_V1_human_Pancreas_FFPE_outs.zip","","Homo sapiens","9606",NA,"10X Genomics","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","FilePath","SFEData/xenium2.tar.gz"
"Seurat Visium mouse brain dataset from SeuratData","Subset of stxBrain.SeuratData with the first 50 genes","3.19","GRCm38","RDS","https://github.com/satijalab/seurat-data","","Mus musculus","10090",NA,"Satija Lab","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_anterior1_visium.rds"
"Seurat Visium HD mouse brain data subset (8 um)","Subset of mouse brain Visium HD data with the first 50 genes, 8 micron bin","3.19","GRCm38","RDS","https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-brain-he","","Mus musculus","10090",NA,"10X Genomics","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_vishd_8um.rds"
"Seurat Visium HD mouse brain data subset (8 um and 16 um)","Subset of mouse brain Visium HD data with the first 50 genes, both 8 micron and 16 micron bin sizes","3.19","GRCm38","RDS","https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-brain-he","","Mus musculus","10090",NA,"10X Genomics","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_vishd_multi.rds"
"Seurat Xenium mouse brain data with multiple samples","Mouse quarter brain Xenium data from 10X website as Seurat object with multiple samples","3.19","GRCm38","RDS","https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP_outs.zip","","Mus musculus","10090",NA,"10X Genomics","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_xen_toy_multi.rds"
"Seurat Xenium mouse brain data","Mouse quarter brain Xenium data from 10X website as Seurat object","3.19","GRCm38","RDS","https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP_outs.zip","","Mus musculus","10090",NA,"10X Genomics","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_xen_toy.rds"
"Seurat Vizgen test data with multiple samples","Unpublished Vizgen brain tumor data as Seurat with multiple samples","3.19","GRCh38","RDS","https://www.dkfz.de/en/single-cell-sequencing/open-lab.html","","Homo sapiens","9606",NA,"scOpenLab DKFZ","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_vz_toy_multi.rds"
"Seurat Vizgen test data","Unpublished Vizgen brain tumor data as Seurat object","3.19","GRCh38","RDS","https://www.dkfz.de/en/single-cell-sequencing/open-lab.html","","Homo sapiens","9606",NA,"scOpenLab DKFZ","Alik Huseynov <alikhuseyno@gmail.com>","Seurat","Rds","SFEData/seu_vz_toy.rds"
